Company_Name,Sector,Industry_Group,Country_of_Origin,Type_of_Data_Stolen,Date,Data_Volume,Data_Volume_GB
Lieberman LLP,Financials,Financial Services,United States,"Authentication & Credential Data, Personal Identifiable Information, Financial & Payment Data, Corporate & Business Data, Communication & Social Data","Apr 1, 2024",150 Gb,150
Consolidated Benefits Resources,Financials,Insurance,United States,"Authentication & Credential Data, Personal Identifiable Information, Financial & Payment Data, Medical & Health Records (PHI), Corporate & Business Data, Communication & Social Data, System & Infrastructure Data","Apr 1, 2024",1.2 Tb,1228.8
Medall Healthcare Pvt Ltd.,Health Care,Health Care Equipment & Supplies,India,"Authentication & Credential Data, Financial & Payment Data, Personal Identifiable Information (PII), Medical & Health Records (PHI), Corporate & Business Data, Communication & Social Data, System & Infrastructure Data","Mar 27, 2024",1.5 Tb,1536
"Keboda Technology Co., Ltd.",Industrials,Automobiles,China,"Authentication & Credential Data, Personal Identifiable Information, Corporate & Business Data, Intellectual Property (IP) & Research Data, Communication & Social Data, System & Infrastructure Data","Mar 27, 2024",1.2 Tb,1228.8
"Martin's, Inc.",Consumer Discretionary,Restaurants,United States,"Authentication & Credential Data, Personal Identifiable Information, Financial & Payment Data, Corporate & Business Data, Communication & Social Data, System & Infrastructure Data","Mar 26, 2024",1.4 Tb,1433.6
Dr. Leeman ENT,Health Care,Health Care Providers,United States,"Authentication & Credential Data, Personal Identifiable Information (PII), Financial & Payment Data, Medical & Health Records (PHI), Corporate & Business Data, Communication & Social Data, System & Infrastructure Data","Mar 26, 2024",480 Gb,480
Roncelli Plastics,Industrials,Industrial Conglomerates,United States,"Authentication & Credential Data, Personal Identifiable Information, Financial & Payment Data, Corporate & Business Data, System & Infrastructure Data","Mar 24, 2024",1.6 Tb,1638.4
"Mayer Antonellis Jachowicz & Haranas, LLP",Financials,Consumer Finance,United States,"Authentication & Credential Data, Personal Identifiable Information, Financial & Payment Data, Corporate & Business Data","Mar 15, 2024",170 Gb,170
Shoma group,Real Estate,Real Estate,United States,"Authentication & Credential Data, Financial & Payment Data, Corporate & Business Data, Personal Identifiable Information, Intellectual Property (IP) & Research Data","Mar 13, 2024",2 Tb,2048
"Palmer Construction Co., Inc",Industrials,Construction & Engineering,United States,"Authentication & Credential Data, Financial & Payment Data, Corporate & Business Data, Intellectual Property (IP) & Research Data, Personal Identifiable Information","Mar 7, 2024",475 Gb,475
New York Home Healthcare,Health Care,Health Care Providers & Services,United States,"Authentication & Credential Data, Financial & Payment Data, Corporate & Business Data, Personal Identifiable Information","Mar 7, 2024",330 Gb,330
"Hypertension Nephrology Associates, P.C.",Health Care,Health Care Providers,United States,"Authentication & Credential Data, Financial & Payment Data, Personal Identifiable Information, Medical & Health Records (PHI), Corporate & Business Data, Communication & Social Data, System & Infrastructure Data","Mar 7, 2024",506 Gb,506
"Hypertension Nephrology Associates, P.C.",Health Care,Health Care Providers,United States,"Authentication & Credential Data, Financial & Payment Data, Personal Identifiable Information, Medical & Health Records (PHI), Corporate & Business Data, Communication & Social Data, System & Infrastructure Data","Mar 7, 2024",506 Gb,506
First Professional Services,Information Technology,IT Services,United States,"Authentication & Credential Data, Personal Identifiable Information, Financial & Payment Data, Medical & Health Records (PHI), Corporate & Business Data, Communication & Social Data, System & Infrastructure Data","Mar 7, 2024",755 Gb,755
Dobrowski Stafford & Pierce,Financials,Financial Services,United States,"Authentication & Credential Data, Personal Identifiable Information, Financial & Payment Data, Corporate & Business Data, Legal Documentation","Mar 7, 2024",0,0
HRTec Inc,Communication Services,Media,United States,"Authentication & Credential Data, Financial & Payment Data, Corporate & Business Data, Intellectual Property (IP) & Research Data, Communication & Social Data, System & Infrastructure Data","Mar 2, 2024",500 Gb,500
"Cole, Cole, Easley & Sciba",Financials,Financial Services,United States,"Authentication & Credential Data, Personal Identifiable Information, Financial & Payment Data, Medical & Health Records (PHI), Corporate & Business Data, System & Infrastructure Data","Feb 28, 2024",1.5 Tb,1536
"Hypertension Nephrology Associates, P.C.",Health Care,Health Care Providers,United States,"Authentication & Credential Data, Personal Identifiable Information, Financial & Payment Data, Medical & Health Records (PHI), Corporate & Business Data, Communication & Social Data, System & Infrastructure Data","Feb 27, 2024",506 Gb,506
"Hypertension Nephrology Associates, P.C.",Health Care,Health Care Providers,United States,"Authentication & Credential Data, Personal Identifiable Information, Financial & Payment Data, Medical & Health Records (PHI), Corporate & Business Data, Communication & Social Data, System & Infrastructure Data","Feb 27, 2024",506 Gb,506
Advantage Orthopedic & Sports Medicine Clinic,Health Care,Health Care Providers & Services,United States,"Authentication & Credential Data, Personal Identifiable Information, Financial & Payment Data, Medical & Health Records (PHI), Corporate & Business Data, Communication & Social Data, System & Infrastructure Data","Feb 27, 2024",600 Gb,600
TechNet Kronoberg AB,Information Technology,Software & Services,Sweden,"Authentication & Credential Data, Financial & Payment Data, Corporate & Business Data","Feb 21, 2024",278 Gb,278
J.P. Original,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",United States,"Authentication & Credential Data, Financial & Payment Data, Corporate & Business Data, Communication & Social Data, Intellectual Property (IP) & Research Data","Feb 21, 2024",1.2 Tb,1228.8
Instron & ITW Inc,Industrials,Machinery,United States,"Intellectual Property (IP) & Research Data, Corporate & Business Data","Feb 21, 2024",2 Tb,2048
NOVA Business Law Group,Financials,Financial Services,United States,"Personal Identifiable Information, Financial & Payment Data, Corporate & Business Data, Authentication & Credential Data","Feb 20, 2024",880 Gb,880
Marchassociates,Industrials,Construction & Engineering,United States,"Authentication & Credential Data, Financial & Payment Data, Corporate & Business Data, Intellectual Property (IP) & Research Data, Communication & Social Data","Feb 20, 2024",1.8 Tb,1843.2
The Wiser Financial Group,Financials,Financial Services,United States,"Authentication & Credential Data, Financial & Payment Data, Corporate & Business Data, Intellectual Property (IP) & Research Data, Communication & Social Data","Feb 19, 2024",300 Gb,300
GRTC Transit System,Industrials,Transportation,United States,"Authentication & Credential Data, Financial & Payment Data, Corporate & Business Data, Intellectual Property (IP) & Research Data, System & Infrastructure Data","Feb 18, 2024",1.5 Tb,1536
Law Office of Michael H Joseph,Financials,Consumer Finance,United States,"Personal Identifiable Information (PII), Financial & Payment Data, Medical & Health Records (PHI), Corporate & Business Data, Government & Military Data, Communication & Social Data","Feb 15, 2024",1.9 Tb,1945.6
Tandem,Consumer Discretionary,Household Durables,United States,"Authentication & Credential Data, Financial & Payment Data, Corporate & Business Data, Communication & Social Data","Feb 13, 2024",2.1 Tb,2150.4
"Robert D. Clements Jr Law Group, LLLP",Consumer Discretionary,Consumer Services,United States,"Authentication & Credential Data, Financial & Payment Data, Corporate & Business Data, System & Infrastructure Data, Legal paperwork","Feb 12, 2024",200 Gb,200
Bay Orthopedic & Rehabilitation Supply,Health Care,Health Care Equipment & Supplies,United States,"Personal Identifiable Information, System & Infrastructure Data, Corporate & Business Data, Communication & Social Data","Feb 10, 2024",400 Gb,400
MA Engineering,Industrials,Industrial Conglomerates,United States,"Personal Identifiable Information, Corporate & Business Data, Communication & Social Data","Feb 9, 2024",94 Gb,94
CTSI,Information Technology,Software & Services,United States,"Authentication & Credential Data, Financial & Payment Data, Personal Identifiable Information, Corporate & Business Data, Communication & Social Data","Feb 9, 2024",978 Gb,978
Northeast Spine and Sports Medicine's,Health Care,Health Care Providers & Services,United States,"Financial & Payment Data, Corporate & Business Data, Personal Identifiable Information, Medical & Health Records (PHI), Communication & Social Data, System & Infrastructure Data","Feb 7, 2024",400 Gb,400
Donear Industries,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",India,"Authentication & Credential Data, Financial & Payment Data, Corporate & Business Data, Personal Identifiable Information, Intellectual Property & Research Data, Communication & Social Data, System & Infrastructure Data","Feb 3, 2024",3.5 Tb,3584
Akumin,Health Care,Health Care Equipment & Supplies,United States,"Authentication & Credential Data, Personal Identifiable Information, Financial & Payment Data, Medical & Health Records (PHI), Corporate & Business Data, Intellectual Property (IP) & Research Data, Communication & Social Data, System & Infrastructure Data","Feb 3, 2024",5 Tb,5120
Greenbox Loans Inc.,Financials,Consumer Finance,United States,"Authentication & Credential Data, Personal Identifiable Information, Financial & Payment Data, Corporate & Business Data, Communication & Social Data","Feb 2, 2024",1 Tb,1024
Commonwealth Capital,Financials,Capital Markets,Singapore,"Authentication & Credential Data, Financial & Payment Data, Corporate & Business Data, Intellectual Property (IP) & Research Data, Communication & Social Data, System & Infrastructure Data","Feb 2, 2024",2 Tb,2048
"Chaney, Couch, Callaway, Carter & Associates Family
            Dentistry.",Health Care,Health Care Providers,United States,"Financial & Payment Data, Personal Identifiable Information, Medical & Health Records (PHI), Corporate & Business Data","Feb 2, 2024",245 Gb,245
Air Sino-Euro Associates Travel Pte. Ltd,Consumer Discretionary,Travel & Leisure,Singapore,"Authentication & Credential Data, Financial & Payment Data, Personal Identifiable Information, Corporate & Business Data, Communication & Social Data, System & Infrastructure Data","Feb 2, 2024",736 Gb,736
Cislo & Thomas LLP,Financials,Financial Services,United States,"Authentication & Credential Data, Personal Identifiable Information, Financial & Payment Data, Corporate & Business Data,  Government & Military Data (if the client is a government entity or handles government data), System & Infrastructure Data","Jan 25, 2024",3 Tb,3072
"NSEIT Limited (a subsidiary of the National Stock Exchange of
            India)",Information Technology,Software & Services,India,"Authentication & Credential Data, Financial & Payment Data, Personal Identifiable Information, Corporate & Business Data, Government & Military Data (if any government or military contractors were among the partners), Intellectual Property & Research Data, System & Infrastructure Data, Dark Web & Underground Economy Data","Jan 21, 2024",3 Tb,3072
Martinaire Aviation,Industrials,Aerospace & Defense,United States,"Authentication & Credential Data, Financial & Payment Data, Corporate & Business Data, Personal Identifiable Information","Jan 19, 2024",365 Gb,365
KC Pharmaceuticals,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",United States,"Authentication & Credential Data, Financial & Payment Data, Corporate & Business Data, Communication & Social Data","Jan 19, 2024",2.5 Tb,2560
North Star Tax And Accounting,Financials,Financial Services,United States,"Authentication & Credential Data, Personal Identifiable Information, Financial & Payment Data, Corporate & Business Data, Communication & Social Data","Jan 18, 2024",480 Gb,480
Somerset Logistics,Industrials,Transportation,United States,"Authentication & Credential Data, Financial & Payment Data, Personal Identifiable Information, Corporate & Business Data, System & Infrastructure Data","Jan 8, 2024",624 Gb,624
"Republic Shipping Consolidators, Inc",Industrials,Transportation,United States,"Financial & Payment Data, Corporate & Business Data, Personal Identifiable Information, Communication & Social Data, System & Infrastructure Data","Jan 8, 2024",117 Gb,117
"Independent Recovery Resources, Inc.",Financials,Financial Services,United States,"Authentication & Credential Data, Personal Identifiable Information, Financial & Payment Data, Corporate & Business Data, Government & Military Data, Communication & Social Data","Jan 7, 2024",1.1 Tb,1126.4
